",","7000185"
".","6202435"
"maamme","17719"
"§","17719"
"muut","17682"
"miime","17662"
"J.","17654"
"1.","17608"
"mk","17592"
"eiwät","17534"
"otetaan","17447"
"itsensä","17415"
"3.","17399"
"markan","17237"
"ehkä","17189"
"Minä","17166"
"perästä","17128"
"eräs","17002"
"ovat","16993"
"heitä","16973"
"eimät","16906"
"kauppias","16905"
"joissa","16844"
"Mitä","16797"
"meille","16776"
"näyttää","16745"
"lo","16715"
"kolme","16688"
"yhden","16608"
"hos","16566"
"de","16560"
"jola","16537"
"0","16483"
"luona","16430"
"olemaan","16342"
"sinä","16282"
"Johan","16218"
"usein","16210"
"toisen","16195"
"asian","16021"
"kuten","15920"
"taan","15914"
"aikana","15895"
"&","15856"
"som","15837"
"il","15836"
"mastaan","15791"
"O","15749"
"samassa","15708"
"ti","15667"
"te","15662"
"sille","15646"
"paljo","15630"
"31","15577"
"päin","15480"
"pitäisi","15480"
"Suomessa","15457"
"med","15408"
"maa","15317"
"aamulla","15305"
"oikein","15289"
"muutamia","15284"
"löytyy","15279"
"siten","15239"
"75","15224"
"muoden","15169"
"an","15138"
"mainitun","15130"
"syystä","15089"
"kertaa","15072"
"tehnyt","15071"
"tekee","15054"
"sinne","15018"
"2.","14998"
"antanut","14991"
"Sillä","14923"
"yhteensä","14898"
"kertoo","14874"
"c","14874"
"joilla","14822"
"maikka","14781"
"kl","14776"
"jälleen","14770"
"ulos","14743"
"meillä","14739"
"minulle","14654"
"heille","14610"
"aika","14607"
"uusi","14563"
"aikaan","14556"
"varten","14488"
"lienee","14481"
"vuoden","14452"
"meitä","14391"
"f.","14381"
"melkein","14380"
"R.","14374"
"Jumala","14219"
"ensin","14214"
"poika","14205"
"maanantaina","14196"
"Maria","14134"
"kuitenkaan","14029"
"mutaan","13977"
"Turusta","13888"
"työtä","13866"
"emme","13843"
"et","13827"
"Tampereen","13777"
"Ne","13759"
"marten","13732"
"Hinta","13718"
"Helsingistä","13688"
"minua","13572"
"ii","13565"
"tuleman","13513"
"saapi","13500"
"tehty","13474"
"pastori","13433"
"sunnuntaina","13427"
"kansa","13390"
"takaisin","13386"
"70","13380"
"näitä","13366"
"alle","13336"
"l:lo","13246"
"talon","13227"
"saatu","13213"
"saamat","13180"
"paikalla","13177"
"kaikkia","13163"
"puolen","13150"
"päästä","13102"
"eitä","13074"
"kvin","13067"
"von","13026"
"J","12984"
"miehen","12978"
"aiwan","12958"
"P","12894"
"läänissä","12887"
"11.","12875"
"maksaa","12875"
"y","12848"
"samoin","12845"
"wuonna","12810"
"annettu","12760"
"tahtoo","12721"
"1868","12677"
"kirkossa","12635"
"pari","12618"
"sanoa","12575"
"ohessa","12560"
"saman","12543"
"5.","12516"
"joko","12514"
"saattaa","12478"
"asiassa","12414"
"sanotaan","12402"
"Waan","12372"
"B.","12359"
"osaksi","12331"
"uuden","12323"
"nen","12241"
"II","12229"
"kaikissa","12224"
"miestä","12139"
"saaneet","12138"
"tiistaina","12088"
"oman","12034"
"lun","12013"
"nä","11943"
"päälle","11934"
"otti","11889"
"viime","11887"
"nähdä","11858"
"seuran","11828"
"saakka","11812"
"hallitus","11807"
"selä","11763"
"sieltä","11758"
"D.","11753"
"T","11749"
"huutokaupalla","11745"
"aiman","11729"
"lähellä","11702"
"käyttää","11693"
"neiti","11648"
"määrätty","11637"
"uutta","11630"
"Karl","11624"
"Wiipurin","11621"
"maassa","11604"
"tule","11594"
"puoli","11591"
"esim.","11572"
"Matti","11557"
"lehden","11534"
"pitäjää","11497"
"olewan","11496"
"Porin","11488"
"niissä","11456"
"edessä","11448"
"Me","11437"
"nämä","11382"
"hänellä","11381"
"tulemat","11365"
"35","11337"
"8.","11335"
"tuon","11320"
"U","11265"
"ostaa","11244"
"alkoi","11234"
"Kuopiossa","11230"
"sama","11222"
"edellä","11220"
"tosin","11213"
"henkeä","11197"
"Sitä","11141"
"man","11141"
"saisi","11132"
"päiwä","11097"
"antoi","11087"
"alkaa","11050"
"illalla","11032"
"b","11012"
"g","11006"
"muun","10988"
"toista","10984"
"un","10962"
"rahaa","10955"
"muuten","10900"
"meni","10882"
"min","10864"
"määrännyt","10849"
"voi","10819"
"toimittaa","10792"
"Kaikki","10789"
"%","10782"
"puolelta","10773"
"erään","10753"
"perjantaina","10728"
"uhalla","10700"
"mainittu","10676"
"myy","10671"
"ennenkuin","10657"
"Pietarista","10634"
"ajalla","10608"
"niille","10567"
"maalla","10541"
"sisään","10536"
"kokouksessa","10524"
"om","10502"
"asiasta","10500"
"ett","10499"
"näet","10485"
"Ruotsin","10467"
"]","10438"
"wälillä","10425"
"maata","10414"
"koulun","10400"
"jokainen","10398"
"ma","10393"
"hinta","10391"
"sentähden","10375"
"lello","10373"
"siksi","10363"
"tapahtuu","10349"
"tohtori","10328"
"L","10321"
"oikeuden","10314"
"toi","10305"
"talo","10276"
"apua","10245"
"ruplaa","10232"
"He","10221"
"sijaan","10202"
"G","10201"
"Pietariin","10182"
"hywä","10176"
"ainakin","10146"
"Ja","10131"
"Anna","10099"
"Seuran","10095"
"sinun","10093"
"samt","10030"
"to","10011"
"jonkun","9976"
"teki","9975"
"muka","9956"
"seuraa","9945"
"Tiistaina","9945"
"4.","9900"
"näiden","9900"
"taa","9894"
"p:stä","9885"
"tieto","9873"
"liian","9853"
"kysymys","9824"
"kaiken","9814"
"kirkon","9783"
"joten","9781"
"saan","9771"
"Wenäjän","9750"
"Herran","9749"
"kuu","9742"
"onkin","9738"
"käy","9736"
"No","9735"
"tänään","9722"
"laitti","9715"
"edes","9706"
"Pietarin","9704"
"asioita","9682"
"minkä","9663"
"kunnan","9655"
"20.","9609"
"muutoin","9583"
"si","9579"
"d","9573"
"ten","9570"
"Tätä","9568"
"p:ltä","9558"
"Tässä","9543"
"ft","9542"
"eilen","9525"
"+","9512"
"joukko","9498"
"muonna","9492"
"ylös","9490"
"kutsutaan","9471"
"syytä","9464"
"kokous","9450"
"lasten","9437"
"tietysti","9433"
"näistä","9429"
"jäsenet","9412"
"miehet","9393"
"tapahtunut","9392"
"päätettiin","9370"
"niihin","9364"
"elämän","9363"
"hintoihin","9361"
"suuren","9360"
"110","9360"
"Englannin","9346"
"sangen","9332"
"mahdollista","9322"
"näkyy","9314"
"muiden","9312"
"{","9308"
"pidettiin","9307"
"Perjantaina","9296"
"sä","9292"
"alussa","9280"
"50.","9274"
"Wiime","9256"
"koskaan","9198"
"kukaan","9196"
"oikeus","9188"
"Hämeenlinnan","9176"
"ottanut","9175"
"tun","9169"
"suinkaan","9169"
"suurta","9153"
"osan","9151"
"julkisella","9136"
"paremmin","9132"
"aikoina","9129"
"wähän","9119"
"6.","9108"
"jättää","9099"
"toimitetaan","9083"
"tuota","9049"
"Tästä","9043"
"lisäksi","9018"
"tili","9007"
"kirkkoherra","9003"
"lehti","9002"
"uusia","8994"
"seuraamat","8947"
"kirjapainossa","8943"
"En","8942"
"tl","8934"
"muu","8928"
"tt","8919"
"yhdessä","8895"
"tilalla","8885"
"Pietari","8878"
"Koska","8863"
"Joka","8857"
"|","8823"
"suomen","8812"
"är","8801"
"paikassa","8798"
"hallituksen","8797"
"olet","8796"
"tehdään","8783"
"teidän","8768"
"K:lo","8757"
"det","8744"
"mennä","8738"
"Tähän","8737"
"Kaarle","8735"
"Hra","8735"
"na","8726"
"seurakunnan","8725"
"päätöksen","8722"
"200","8709"
"hänet","8694"
"Pietarissa","8680"
"maassamme","8679"
"täältä","8677"
"kirjakaupassa","8665"
"tapahtui","8660"
"olkoon","8656"
"Maanantaina","8653"
"lauantaina","8628"
"millä","8626"
"lapsi","8625"
"sisältää","8621"
"1870","8597"
"olema","8582"
"mi","8573"
"kumminkin","8560"
"tulleet","8555"
"syyskuun","8525"
"Waasan","8505"
"yhtiön","8504"
"Viipurin","8502"
"oivat","8478"
"asiaa","8464"
"Näin","8464"
"yhteen","8433"
"Että","8424"
"E","8413"
"ka","8411"
"1869","8390"
"hanen","8384"
"neljä","8380"
"tuskin","8379"
"jotakin","8352"
"muista","8345"
"Helsinkiin","8339"
"opettaja","8329"
"1867","8293"
"määrä","8291"
"tahdo","8285"
"lausui","8265"
"vuonna","8242"
"päiwän","8235"
"tila","8229"
"o.","8223"
"awoinna","8204"
"oi","8202"
"7.","8183"
"Uusi","8179"
"ihan","8160"
"Tampereella","8159"
"sig","8124"
"luo","8122"
"maahan","8107"
"samaa","8107"
"ihminen","8105"
"Juho","8100"
"eteen","8080"
"Antti","8076"
"myöten","8073"
"wuotta","8064"
"tiedä","8056"
"pieni","8048"
"le","8046"
"tawalla","8042"
"hintaan","8038"
"nämät","8032"
"Kristuksen","8023"
"työ","8017"
"yleisölle","8017"
"moni","8013"
"Jo","8011"
"1873","7989"
"tehtaan","7971"
"välillä","7968"
"milloin","7963"
"ai","7955"
"1872","7945"
"kaikille","7936"
"10.","7929"
"suomalaisen","7920"
"saatiin","7913"
"Turkuun","7903"
"nuo","7897"
"panna","7895"
"warrella","7893"
"123","7886"
"ett'ei","7868"
"Siinä","7862"
"antamaan","7861"
"luun","7854"
"PP","7849"
"maisteri","7832"
"oma","7825"
"lähettää","7820"
"täytyi","7809"
"ilmoittamaan","7797"
"kuollut","7778"
"kesäkuun","7776"
"On","7765"
"Keisarillisen","7760"
"jälteen","7757"
"mainitussa","7751"
"päimä","7736"
"halullisille","7732"
"rautatien","7721"
"Mikkelin","7709"
"pantu","7707"
"kuoli","7704"
"otettu","7702"
"lapset","7696"
"tiedoksi","7695"
"t:lo","7687"
"alusta","7671"
"kylästä","7670"
"122","7665"
"kuoleman","7653"
"päimän","7642"
"\","7617"
"nähnyt","7616"
"ra","7610"
"kahden","7599"
"kuluttua","7595"
"asiat","7587"
"kuukauden","7583"
"täyttää","7582"
"kuiu","7558"
"niillä","7550"
"muassa","7548"
"yöllä","7524"
"lain","7521"
"ha","7517"
"käynyt","7516"
"yön","7507"
"Toinen","7491"
"hymä","7477"
"Siitä","7458"
"kokonaan","7448"
"kaikista","7439"
"kohden","7423"
"å","7423"
"st","7418"
"1871","7415"
"99","7400"
"määrässä","7398"
"mistä","7394"
"loh","7378"
"tä","7368"
"määrää","7356"
"tiedon","7352"
"Oulussa","7351"
"kohtaan","7347"
"puolella","7345"
"olleen","7335"
"luku","7321"
"1874","7284"
"kuuta","7260"
"nykyään","7259"
"joihin","7259"
"ottamaan","7254"
"molemmat","7251"
"ni","7248"
"Sunnuntaina","7248"
"45","7247"
"muutamat","7240"
"tekemään","7230"
"epp","7224"
"waikka","7174"
"asioista","7166"
"pit","7162"
"suhteessa","7159"
"9.","7156"
"yleinen","7150"
"ml","7150"
"tapauksessa","7147"
"kielen","7139"
"olin","7113"
"kappalainen","7098"
"toukokuun","7095"
"jpp","7093"
"ainoa","7089"
"kauan","7082"
"kaupungista","7073"
"32","7072"
"Suomalaisen","7063"
"masta","7053"
"Ilmoituksia","7043"
"kaikkein","7034"
"Koko","7021"
"eller","7018"
"500","7016"
"yleensä","7014"
"ympäri","7012"
"fa","7008"
"nimi","7006"
"Gustaf","7000"
"F","6988"
"maailman","6980"
"miehiä","6974"
"omistaja","6973"
"knin","6955"
"ihmiset","6955"
"alkaen","6952"
"marraskuun","6946"
"at","6945"
"1875","6943"
"Ha","6930"
"seka","6917"
"taloon","6904"
"Silloin","6903"
"torstaina","6889"
"tietoa","6887"
"syntynyt","6885"
"tulo","6880"
"tilaisuudessa","6866"
"Keisarillinen","6863"
"mahan","6862"
"Fredrik","6846"
"ihmisen","6841"
"loppuun","6819"
"ostajille","6810"
"Johtokunta","6793"
"pitänyt","6780"
"lv","6772"
"mat","6767"
"sisällä","6744"
"teitä","6740"
"cttä","6736"
"ehdoilla","6731"
"Keis","6730"
"nuori","6727"
"Marten","6715"
"esiin","6714"
"yleisön","6710"
"läpi","6702"
"uudestaan","6698"
"näytti","6697"
"heillä","6676"
"maksetaan","6669"
"vid","6664"
"}","6663"
"vat","6659"
"men","6648"
"samaan","6643"
"äänellä","6641"
"myypi","6630"
"suuria","6625"
"tahtomat","6623"
"maaliskuun","6612"
"siltä","6601"
"Wilhelm","6596"
"lokakuun","6585"
"tynnyriä","6584"
"30.","6583"
"Keisari","6580"
"sopii","6570"
"muissa","6565"
"ihmisten","6562"
"pä","6562"
"seura","6559"
"teille","6558"
"°","6556"
"päätti","6553"
"Suomalainen","6549"
"kirkkoherran","6542"
"päimällä","6524"
"työn","6514"
"tunnettu","6512"
"ilmoituksia","6510"
"ihmisiä","6498"
"Snellman","6497"
"kielellä","6488"
"varrella","6487"
"tarpeeksi","6483"
"lapsia","6466"
"Kuopiosta","6466"
"nousi","6457"
"joukossa","6453"
"rahoja","6446"
"ollenkaan","6435"
"muotta","6430"
"elää","6429"
"kiinni","6425"
"jn","6423"
"¦","6422"
"toimittamaan","6412"
"jäi","6406"
"päällä","6399"
"alas","6383"
"elokuun","6382"
"itselleen","6359"
"Torstaina","6357"
"wuodelta","6354"
"tietä","6351"
"ilmoitti","6348"
"1876","6336"
"samana","6336"
"55","6319"
"olemassa","6314"
"iltana","6304"
"olette","6303"
"todistaa","6302"
"alalla","6289"
"kesänä","6286"
"pitäjästä","6286"
"tahtonut","6280"
"herrat","6280"
"osoittaa","6278"
"tahtoi","6272"
"käydä","6264"
"laita","6263"
"toiset","6246"
"Täällä","6233"
"päi","6227"
"pitämään","6223"
"sanat","6221"
"it","6220"
"Syyskuun","6206"
"päässä","6201"
"40.","6200"
"paikoin","6195"
"tarjotaan","6192"
"suurempi","6190"
"han","6186"
"yhdistyksen","6181"
"tykönä","6180"
"wasta","6175"
"ilmestynyt","6173"
"1878","6169"
"pi","6149"
"33","6147"
"lasta","6143"
"August","6131"
"ö","6127"
"1877","6124"
"mitkä","6119"
"Venäjän","6118"
"uti","6115"
"Eräs","6109"
"vaikka","6107"
"Kaupungin","6101"
"tulemaan","6092"
"rahat","6090"
"helposti","6087"
"1866","6076"
"Viipurissa","6068"
"monen","6053"
"kerta","6027"
"ivastaan","6018"
"suuresti","6010"
"sittemmin","6006"
"kaupunkiin","6002"
"semmoinen","6000"
"toisella","5997"
"pää","5996"
"124","5989"
"C","5986"
"markkaan","5972"
"tilan","5968"
"saawat","5966"
"vuodelta","5963"
"ilma","5957"
"parempi","5957"
"mennyt","5955"
"koulussa","5954"
"semmoista","5943"
"edestä","5942"
"mikään","5939"
"Kuin","5936"
"rupl","5928"
"terran","5928"
"300","5921"
"ylsi","5899"
"mielestä","5895"
"heinäkuun","5886"
"kirjoja","5885"
"toiseen","5884"
"kysyi","5882"
"pnä","5863"
"kapteeni","5859"
"lajia","5849"
"ellei","5843"
"wa","5841"
"luu","5838"
"Saksan","5835"
"tytär","5832"
"päättänyt","5823"
"konttorissa","5815"
"Kuopio","5809"
"tehneet","5806"
"määrin","5799"
"entinen","5799"
"tn","5793"
"omaa","5792"
"Te","5791"
"jokaisen","5789"
"Porissa","5783"
"tie","5781"
"ainoasti","5781"
"niitten","5778"
"armossa","5773"
"139","5771"
"Kauppias","5766"
"sana","5766"
"tahdon","5760"
"päimää","5755"
"Sitten","5752"
"sanan","5746"
"huhtikuun","5741"
"joulukuun","5739"
"täydellisesti","5738"
"lan","5733"
"kokouksen","5732"
"suurin","5732"
"miesten","5729"
"elämä","5728"
"suuressa","5726"
"jaetaan","5723"
"menee","5722"
"johtokunta","5712"
"suomalainen","5707"
"pyytää","5699"
"pannaan","5698"
"Otto","5695"
"1863","5695"
"hywää","5691"
"hengen","5691"
"laatua","5690"
"talosta","5686"
"1879","5676"
"aan","5675"
"kansakoulun","5675"
"läsnä","5672"
"estää","5672"
"fen","5668"
"seikka","5665"
"el","5660"
"saamme","5657"
"1865","5657"
"useita","5654"
"otettiin","5638"
"häneltä","5630"
"12.","5628"
"Kuinka","5625"
"äiti","5625"
"eteenpäin","5615"
"päiwällä","5615"
"yleisesti","5613"
"pa","5612"
"sam","5603"
"kirjoittaa","5603"
"lähetetään","5602"
"lähti","5596"
"paljoa","5591"
"lamalla","5591"
"tilaa","5591"
"jotain","5588"
"palkintoa","5575"
"syy","5570"
"edelleen","5570"
"kolo","5568"
"opettajan","5568"
"kansaa","5564"
"ollen","5561"
"konttori","5559"
"Emil","5545"
"mcd","5538"
"mihin","5538"
"näinä","5531"
"semmoisia","5530"
"kappalaisen","5528"
"nykyä","5527"
"z","5527"
"kuului","5526"
"iin","5525"
"toisessa","5521"
"sinua","5521"
"entisen","5520"
"sanottu","5517"
"kuulla","5505"
"tama","5498"
"Jesus","5496"
"mastoin","5495"
"vuotta","5493"
"heistä","5491"
"sanoen","5491"
"tyttö","5480"
"Carl","5476"
"päiwää","5473"
"huolta","5462"
"hy","5455"
"useampia","5452"
"X","5444"
"kruunun","5442"
"1880","5439"
"pyydetään","5439"
"kuningas","5430"
"har","5429"
"leski","5421"
"pitäjä","5420"
"Meidän","5420"
"rupesi","5401"
"jotenkin","5398"
"markalla","5398"
"36","5393"
"Helsinki","5392"
"saataisiin","5389"
"aa","5389"
"tammikuun","5375"
"kaunis","5375"
"koulu","5374"
"kolmen","5372"
"tarpeen","5371"
"suomeksi","5371"
"tilassa","5370"
"annettiin","5368"
"näillä","5362"
"itsellensä","5362"
"syynä","5358"
"Fr","5353"
"avoinna","5352"
"enään","5349"
"auki","5348"
"opetusta","5346"
"totta","5343"
"minulla","5339"
"osassa","5337"
"ent","5326"
"toto","5319"
"Huom","5300"
"rukiita","5293"
"erinomaisen","5289"
"yksin","5283"
"Juhana","5283"
"Kuollut","5282"
"p:uä","5279"
"på","5275"
"kuulumat","5273"
"olemat","5268"
"kartanossa","5268"
"onko","5263"
"1881","5262"
"amoinna","5253"
"ju","5249"
"muille","5240"
"ilmoitus","5234"
"lopulla","5233"
"jäseniä","5231"
"hyötyä","5228"
"sanomia","5227"
"näissä","5204"
"kunnes","5195"
"tilata","5191"
"suoraan","5168"
"Tällä","5161"
"toistaiseksi","5158"
"Lehti","5158"
"kukin","5157"
"yleisen","5157"
"ikäänkuin","5154"
"marraskuuta","5153"
"Henrik","5149"
"kaikkien","5148"
"kilo","5146"
"jää","5142"
"jonla","5142"
"järjestyksessä","5137"
"hau","5124"
"Ranskan","5120"
"ornat","5119"
"isä","5115"
"Lauantaina","5112"
"400","5104"
"ulkomaan","5104"
"möisi","5104"
"1883","5099"
"mainittua","5098"
"38","5096"
"odottaa","5090"
"kolmannen","5086"
"itseänsä","5085"
"maalle","5082"
"Wiipurissa","5079"
"--","5078"
"luonnon","5077"
"palkinnon","5062"
"Juha","5053"
"oppia","5044"
"eikö","5042"
"teen","5041"
"helmikuun","5038"
"kirja","5034"
"lm","5024"
"kaikkea","5023"
"omaisuutta","5020"
"Pastori","5018"
"nut","5017"
"paikan","5016"
"saamaan","5016"
"Siis","5015"
"kappelissa","5014"
"kan","5012"
"luetaan","5010"
"määrätä","5006"
"päivänä","5005"
"näki","5005"
"isäntä","5001"
"mieli","5000"
"runsaasti","5000"
"pitkä","4999"
"anteeksi","4997"
"oikeutta","4986"
"56","4983"
"1864","4977"
"Toukokuun","4974"
"tul","4970"
"vähän","4966"
"talollisen","4965"
"34","4965"
"markasta","4961"
"Maaliskuun","4953"
"ilmestyy","4951"
"ostetaan","4950"
"kaikenlaisia","4948"
"etenkin","4947"
"Frans","4939"
"päättää","4938"
"Kustaa","4933"
"sinulle","4932"
"johtokunnan","4924"
"ro","4919"
"pidetty","4918"
"St","4916"
"ehdotus","4910"
"under","4910"
"myöskään","4909"
"Paitsi","4908"
"tulen","4907"
"pmä","4907"
"takasin","4901"
"ar","4898"
"p:","4897"
"lapsen","4892"
"lapsille","4892"
"enimmän","4884"
"Th","4884"
"olis","4883"
"säätää","4881"
"tilaisuutta","4881"
"päätös","4877"
"täta","4875"
"seurakunnassa","4875"
"c.","4871"
"warsin","4870"
"Kesäkuun","4862"
"woipi","4845"
"h.","4844"
"ainoastansa","4843"
"tuhatta","4832"
"Siellä","4830"
"armosta","4826"
"mainitut","4825"
"käytetään","4820"
"pääsi","4817"
"suurella","4812"
"tuntia","4808"
"genom","4807"
"kappaletta","4806"
"pitäjään","4805"
"lukea","4802"
"pitkin","4796"
"äsken","4790"
"ala","4784"
"suuret","4783"
"asioissa","4782"
"tulewan","4781"
"ollessa","4774"
"mieltä","4772"
"jopa","4768"
"tää","4766"
"mä","4766"
"wanha","4760"
"Senaatin","4759"
"138","4758"
"seisoi","4756"
"mark","4755"
"Elokuun","4743"
"matkalla","4737"
"kaikin","4734"
"fe","4731"
"pankin","4731"
"kappale","4730"
"toimesta","4726"
"jolle","4725"
"työmies","4721"
"keisari","4715"
"1862","4714"
"toki","4711"
"asettaa","4710"
"kadun","4709"
"Viipurista","4706"
"1885","4703"
"astui","4695"
"miclä","4692"
"Marraskuun","4691"
"asiain","4679"
"päättämään","4672"
"42","4671"
"Lokakuun","4667"
"katsoen","4667"
"omasta","4660"
"syyskuuta","4659"
"lähes","4656"
"Uudenmaan","4653"
"kokoukseen","4650"
"ruotsin","4640"
"1882","4638"
"Oskar","4636"
"65","4634"
"hymää","4634"
"48","4631"
"pidä","4626"
"olivat","4622"
"Tampereelta","4620"
"nousee","4619"
"tien","4611"
"kerrotaan","4611"
"Hämeenlinnassa","4607"
"kesäkuuta","4603"
"syysk","4599"
"naula","4598"
"kieltä","4594"
"pyysi","4592"
"komitea","4590"
"fi","4588"
"yhtään","4586"
"tehdyn","4582"
"kansalle","4578"
"1886","4575"
"kesken","4573"
