",","7000185"
".","6202435"
"■","24568"
"la","24375"
"syntyä","24338"
"Pori","24251"
"Viipuri","24248"
"miten","24233"
"oliwat","24192"
"tarpeellinen","24171"
"yli","24161"
"iso","24125"
"paljo","24119"
"sääty","24114"
"nimittäin","24075"
"aamu","24050"
"joki","24018"
"80","23992"
"T.","23736"
"keisarillinen","23695"
"hyvä","23545"
"johdosta","23539"
"elää","23424"
"kauppa","23351"
"vielä","23282"
"60","23247"
"kesäkuu","23141"
"näkyä","23033"
"yleisö","22993"
"N","22952"
"saapua","22900"
"sanomalehti","22864"
"kirje","22836"
"li","22814"
"marraskuu","22753"
"100","22657"
"26","22657"
"tarkoitus","22618"
"toukokuu","22572"
"taitaa","22556"
"kirkkoherra","22519"
"palkinto","22471"
"joutua","22433"
"olimat","22426"
"Hämeenlinna","22327"
"u","22296"
"nousta","22216"
"K","22181"
"yhteinen","22147"
"taikka","22060"
"wuoden","21955"
"päimänä","21866"
"ulkomaa","21827"
"27","21791"
"perustaa","21597"
"edellinen","21494"
"kop","21462"
"tähden","21353"
"maaliskuu","21348"
"lautta","21324"
"","21320"
"pastori","21286"
"suomi","21241"
"yhtä","21228"
"erittäin","21215"
"perä","21106"
"lokakuu","21082"
"päiwänä","21052"
"julkinen","21031"
"29","20968"
"pian","20937"
"kirjoitus","20886"
"oppia","20877"
"elokuu","20874"
"rautatie","20843"
"puu","20834"
"suorittaa","20829"
"ruotsalainen","20793"
"myöntää","20749"
"hywin","20738"
"pari","20692"
"tehdas","20644"
"=","20608"
"ala","20581"
"keisari","20509"
"tapaus","20456"
"jolloin","20438"
"heti","20390"
"woi","20387"
"kesä","20331"
"ll","20313"
"pyhä","20143"
"kaunis","19984"
"alla","19957"
"pappi","19919"
"kulkea","19901"
"nykyinen","19771"
"tänne","19720"
"taka","19674"
"metsä","19669"
"kuolema","19620"
"warten","19567"
"löytää","19513"
"huhtikuu","19474"
"usein","19470"
"kuukausi","19437"
"ehto","19368"
"apu","19367"
"asetus","19318"
"tilaisuus","19206"
"W","19198"
"yhtiö","19193"
"muta","19138"
"palkka","19130"
"U.","19090"
"ehkä","19090"
"enää","19052"
"koskea","19014"
"senaatti","18995"
"ä","18986"
"yhä","18939"
"suhteen","18901"
"kuten","18872"
"ilmestyä","18850"
"kolmas","18839"
"omistaja","18825"
"w","18767"
"maikka","18745"
"paha","18736"
"Ruotsi","18707"
"tili","18684"
"laskea","18622"
"osoittaa","18620"
